company_name,company_url,programming_languages,frameworks,other_tech_stack,remote,origin,countries,cities
EverAI,https://www.everai.ai,"[""Ruby""]",[],"[""H2""]",true,https://rubyonremote.com,"[""AT"", ""AX"", ""BE"", ""BG"", ""CY"", ""CZ"", ""DE"", ""DK"", ""EE"", ""ES"", ""FI"", ""FR"", ""GF"", ""GP"", ""GR"", ""HR"", ""HU"", ""IE"", ""IT"", ""LT"", ""LU"", ""LV"", ""MF"", ""MQ"", ""MT"", ""NL"", ""PL"", ""PT"", ""RE"", ""RO"", ""SE"", ""SI"", ""SK"", ""YT""]",[]
CompanyCam,https://companycam.com,"[""Ruby""]","[""React"", ""Ruby on Rails""]","[""PostgreSQL"", ""Redis"", ""MongoDB"", ""Elasticsearch"", ""Snowflake"", ""H2"", ""Terraform""]",true,https://rubyonremote.com,"[""US""]",[]
Kit (Formerly ConvertKit),https://kit.com,"[""JavaScript"", ""HTML"", ""CSS"", ""Ruby""]","[""React"", ""Ruby on Rails""]","[""H2"", ""Make"", ""Tailwind""]",true,https://rubyonremote.com,"[""AD"", ""AE"", ""AF"", ""AG"", ""AI"", ""AL"", ""AM"", ""AO"", ""AQ"", ""AR"", ""AS"", ""AT"", ""AU"", ""AW"", ""AX"", ""AZ"", ""BA"", ""BB"", ""BD"", ""BE"", ""BF"", ""BG"", ""BH"", ""BI"", ""BJ"", ""BL"", ""BM"", ""BN"", ""BO"", ""BQ"", ""BR"", ""BS"", ""BT"", ""BV"", ""BW"", ""BY"", ""BZ"", ""CA"", ""CC"", ""CD"", ""CF"", ""CG"", ""CH"", ""CI"", ""CK"", ""CL"", ""CM"", ""CN"", ""CO"", ""CR"", ""CU"", ""CV"", ""CW"", ""CX"", ""CY"", ""CZ"", ""DE"", ""DJ"", ""DK"", ""DM"", ""DO"", ""DZ"", ""EC"", ""EE"", ""EG"", ""EH"", ""ER"", ""ES"", ""ET"", ""FI"", ""FJ"", ""FK"", ""FM"", ""FO"", ""FR"", ""GA"", ""GB"", ""GD"", ""GE"", ""GF"", ""GG"", ""GH"", ""GI"", ""GL"", ""GM"", ""GN"", ""GP"", ""GQ"", ""GR"", ""GS"", ""GT"", ""GU"", ""GW"", ""GY"", ""HK"", ""HM"", ""HN"", ""HR"", ""HT"", ""HU"", ""ID"", ""IE"", ""IL"", ""IM"", ""IN"", ""IO"", ""IQ"", ""IR"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""JP"", ""KE"", ""KG"", ""KH"", ""KI"", ""KM"", ""KN"", ""KP"", ""KR"", ""KW"", ""KY"", ""KZ"", ""LA"", ""LB"", ""LC"", ""LI"", ""LK"", ""LR"", ""LS"", ""LT"", ""LU"", ""LV"", ""LY"", ""MA"", ""MC"", ""MD"", ""ME"", ""MF"", ""MG"", ""MH"", ""MK"", ""ML"", ""MM"", ""MN"", ""MO"", ""MP"", ""MQ"", ""MR"", ""MS"", ""MT"", ""MU"", ""MV"", ""MW"", ""MX"", ""MY"", ""MZ"", ""NA"", ""NC"", ""NE"", ""NF"", ""NG"", ""NI"", ""NL"", ""NO"", ""NP"", ""NR"", ""NU"", ""NZ"", ""OM"", ""PA"", ""PE"", ""PF"", ""PG"", ""PH"", ""PK"", ""PL"", ""PM"", ""PN"", ""PR"", ""PS"", ""PT"", ""PW"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SA"", ""SB"", ""SC"", ""SD"", ""SE"", ""SG"", ""SH"", ""SI"", ""SJ"", ""SK"", ""SL"", ""SM"", ""SN"", ""SO"", ""SR"", ""SS"", ""ST"", ""SV"", ""SX"", ""SY"", ""SZ"", ""TC"", ""TD"", ""TF"", ""TG"", ""TH"", ""TJ"", ""TK"", ""TL"", ""TM"", ""TN"", ""TO"", ""TR"", ""TT"", ""TV"", ""TW"", ""TZ"", ""UA"", ""UG"", ""UM"", ""US"", ""UY"", ""UZ"", ""VA"", ""VC"", ""VE"", ""VG"", ""VI"", ""VN"", ""VU"", ""WF"", ""WS"", ""YE"", ""YT"", ""ZA"", ""ZM"", ""ZW""]",[]
Block,https://block.xyz,"[""TypeScript"", ""Java"", ""C"", ""Go"", ""Kotlin"", ""Ruby""]","[""React"", ""Ruby on Rails""]","[""MySQL"", ""DynamoDB"", ""Kubernetes"", ""Terraform""]",true,https://rubyonremote.com,"[""US"", ""CA"", ""AG"", ""AI"", ""AW"", ""BB"", ""BL"", ""BM"", ""BQ"", ""BS"", ""BZ"", ""CR"", ""CU"", ""CW"", ""DM"", ""DO"", ""GD"", ""GL"", ""GP"", ""GT"", ""HN"", ""HT"", ""JM"", ""KN"", ""KY"", ""LC"", ""MF"", ""MQ"", ""MS"", ""MX"", ""NI"", ""PA"", ""PM"", ""PR"", ""SV"", ""SX"", ""TC"", ""TT"", ""VC"", ""VG"", ""VI"", ""IE"", ""AU"", ""CC"", ""CX"", ""NF"", ""NZ""]",[]
Event Temple,https://www.eventtemple.com,"[""C"", ""Ruby""]",[],"[""Redis""]",true,https://rubyonremote.com,"[""CA""]",[]
Huntress,https://www.huntress.com,"[""JavaScript"", ""Python"", ""Bash"", ""PowerShell"", ""PHP"", ""Go"", ""Ruby""]",[],"[""Make"", ""Splunk""]",true,https://rubyonremote.com,"[""US"", ""CA""]",[]
Rewind,https://rewind.com,"[""JavaScript"", ""HTML"", ""TypeScript"", ""Go"", ""Ruby"", ""R""]","[""React"", ""Ruby on Rails""]","[""PostgreSQL"", ""H2"", ""Make""]",true,https://rubyonremote.com,"[""AD"", ""AE"", ""AF"", ""AG"", ""AI"", ""AL"", ""AM"", ""AO"", ""AQ"", ""AR"", ""AS"", ""AT"", ""AU"", ""AW"", ""AX"", ""AZ"", ""BA"", ""BB"", ""BD"", ""BE"", ""BF"", ""BG"", ""BH"", ""BI"", ""BJ"", ""BL"", ""BM"", ""BN"", ""BO"", ""BQ"", ""BR"", ""BS"", ""BT"", ""BV"", ""BW"", ""BY"", ""BZ"", ""CA"", ""CC"", ""CD"", ""CF"", ""CG"", ""CH"", ""CI"", ""CK"", ""CL"", ""CM"", ""CN"", ""CO"", ""CR"", ""CU"", ""CV"", ""CW"", ""CX"", ""CY"", ""CZ"", ""DE"", ""DJ"", ""DK"", ""DM"", ""DO"", ""DZ"", ""EC"", ""EE"", ""EG"", ""EH"", ""ER"", ""ES"", ""ET"", ""FI"", ""FJ"", ""FK"", ""FM"", ""FO"", ""FR"", ""GA"", ""GB"", ""GD"", ""GE"", ""GF"", ""GG"", ""GH"", ""GI"", ""GL"", ""GM"", ""GN"", ""GP"", ""GQ"", ""GR"", ""GS"", ""GT"", ""GU"", ""GW"", ""GY"", ""HK"", ""HM"", ""HN"", ""HR"", ""HT"", ""HU"", ""ID"", ""IE"", ""IL"", ""IM"", ""IN"", ""IO"", ""IQ"", ""IR"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""JP"", ""KE"", ""KG"", ""KH"", ""KI"", ""KM"", ""KN"", ""KP"", ""KR"", ""KW"", ""KY"", ""KZ"", ""LA"", ""LB"", ""LC"", ""LI"", ""LK"", ""LR"", ""LS"", ""LT"", ""LU"", ""LV"", ""LY"", ""MA"", ""MC"", ""MD"", ""ME"", ""MF"", ""MG"", ""MH"", ""MK"", ""ML"", ""MM"", ""MN"", ""MO"", ""MP"", ""MQ"", ""MR"", ""MS"", ""MT"", ""MU"", ""MV"", ""MW"", ""MX"", ""MY"", ""MZ"", ""NA"", ""NC"", ""NE"", ""NF"", ""NG"", ""NI"", ""NL"", ""NO"", ""NP"", ""NR"", ""NU"", ""NZ"", ""OM"", ""PA"", ""PE"", ""PF"", ""PG"", ""PH"", ""PK"", ""PL"", ""PM"", ""PN"", ""PR"", ""PS"", ""PT"", ""PW"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SA"", ""SB"", ""SC"", ""SD"", ""SE"", ""SG"", ""SH"", ""SI"", ""SJ"", ""SK"", ""SL"", ""SM"", ""SN"", ""SO"", ""SR"", ""SS"", ""ST"", ""SV"", ""SX"", ""SY"", ""SZ"", ""TC"", ""TD"", ""TF"", ""TG"", ""TH"", ""TJ"", ""TK"", ""TL"", ""TM"", ""TN"", ""TO"", ""TR"", ""TT"", ""TV"", ""TW"", ""TZ"", ""UA"", ""UG"", ""UM"", ""US"", ""UY"", ""UZ"", ""VA"", ""VC"", ""VE"", ""VG"", ""VI"", ""VN"", ""VU"", ""WF"", ""WS"", ""YE"", ""YT"", ""ZA"", ""ZM"", ""ZW""]",[]
Reveal Technology,https://www.revealtech.ai,"[""Python"", ""TypeScript"", ""Go"", ""Ruby""]","[""Node.js"", ""React"", ""Ruby on Rails""]","[""PostgreSQL"", ""Docker"", ""Kubernetes"", ""Tailwind""]",true,https://rubyonremote.com,"[""US""]",[]
Hologram,https://www.hologram.io,"[""SQL"", ""Python"", ""Ruby""]",[],"[""H2"", ""Make""]",true,https://rubyonremote.com,"[""US""]",[]
Triumph ,https://triumph.io,"[""TypeScript"", ""Ruby"", ""Elixir"", ""OCaml""]","[""React""]",[],true,https://rubyonremote.com,"[""US""]",[]
"Sessions, Inc.",https://www.sessionshealth.com,"[""Ruby""]","[""Ruby on Rails""]","[""PostgreSQL""]",true,https://rubyonremote.com,"[""US""]",[]
