company_name,company_url,programming_languages,frameworks,other_tech_stack,remote,origin,countries,cities
Proxify AB,http://career.proxify.io,"[""Bash"", ""PowerShell""]",[],"[""Docker"", ""Kubernetes"", ""Microsoft Azure"", ""Terraform""]",true,https://weworkremotely.com,"[""AF"", ""AX"", ""AL"", ""DZ"", ""AS"", ""AD"", ""AO"", ""AI"", ""AQ"", ""AG"", ""AR"", ""AM"", ""AW"", ""AU"", ""AT"", ""AZ"", ""BS"", ""BH"", ""BD"", ""BB"", ""BY"", ""BE"", ""BZ"", ""BJ"", ""BM"", ""BT"", ""BO"", ""BQ"", ""BA"", ""BW"", ""BV"", ""BR"", ""IO"", ""BN"", ""BG"", ""BF"", ""BI"", ""KH"", ""CM"", ""CA"", ""CV"", ""KY"", ""CF"", ""TD"", ""CL"", ""CN"", ""CX"", ""CC"", ""CO"", ""KM"", ""CG"", ""CD"", ""CK"", ""CR"", ""CI"", ""HR"", ""CU"", ""CW"", ""CY"", ""CZ"", ""DK"", ""DJ"", ""DM"", ""DO"", ""EC"", ""EG"", ""SV"", ""GQ"", ""ER"", ""EE"", ""ET"", ""FK"", ""FO"", ""FJ"", ""FI"", ""FR"", ""GF"", ""PF"", ""TF"", ""GA"", ""GM"", ""GE"", ""DE"", ""GH"", ""GI"", ""GR"", ""GL"", ""GD"", ""GP"", ""GU"", ""GT"", ""GG"", ""GN"", ""GW"", ""GY"", ""HT"", ""HM"", ""VA"", ""HN"", ""HK"", ""HU"", ""IS"", ""IN"", ""ID"", ""IR"", ""IQ"", ""IE"", ""IM"", ""IL"", ""IT"", ""JM"", ""JP"", ""JE"", ""JO"", ""KZ"", ""KE"", ""KI"", ""KP"", ""KR"", ""KW"", ""KG"", ""LA"", ""LV"", ""LB"", ""LS"", ""LR"", ""LY"", ""LI"", ""LT"", ""LU"", ""MO"", ""MK"", ""MG"", ""MW"", ""MY"", ""MV"", ""ML"", ""MT"", ""MH"", ""MQ"", ""MR"", ""MU"", ""YT"", ""MX"", ""FM"", ""MD"", ""MC"", ""MN"", ""ME"", ""MS"", ""MA"", ""MZ"", ""MM"", ""NA"", ""NR"", ""NP"", ""NL"", ""NC"", ""NZ"", ""NI"", ""NE"", ""NG"", ""NU"", ""NF"", ""MP"", ""NO"", ""OM"", ""PK"", ""PW"", ""PS"", ""PA"", ""PG"", ""PY"", ""PE"", ""PH"", ""PN"", ""PL"", ""PT"", ""PR"", ""QA"", ""RE"", ""RO"", ""RU"", ""RW"", ""BL"", ""SH"", ""KN"", ""LC"", ""MF"", ""PM"", ""VC"", ""WS"", ""SM"", ""ST"", ""SA"", ""SN"", ""RS"", ""SC"", ""SL"", ""SG"", ""SX"", ""SK"", ""SI"", ""SB"", ""SO"", ""ZA"", ""GS"", ""SS"", ""ES"", ""LK"", ""SD"", ""SR"", ""SJ"", ""SZ"", ""SE"", ""CH"", ""SY"", ""TW"", ""TJ"", ""TZ"", ""TH"", ""TL"", ""TG"", ""TK"", ""TO"", ""TT"", ""TN"", ""TR"", ""TM"", ""TC"", ""TV"", ""UG"", ""UA"", ""AE"", ""GB"", ""US"", ""UM"", ""UY"", ""UZ"", ""VU"", ""VE"", ""VN"", ""VG"", ""VI"", ""WF"", ""EH"", ""YE"", ""ZM"", ""ZW""]",[]
Toptal,https://www.toptal.com,[],[],[],true,https://weworkremotely.com,"[""CA"", ""CN"", ""GB"", ""IN"", ""US""]",[]
Anuttacon,https://anuttacon.com,[],[],[],true,https://weworkremotely.com,"[""AF"", ""AX"", ""AL"", ""DZ"", ""AS"", ""AD"", ""AO"", ""AI"", ""AQ"", ""AG"", ""AR"", ""AM"", ""AW"", ""AU"", ""AT"", ""AZ"", ""BS"", ""BH"", ""BD"", ""BB"", ""BY"", ""BE"", ""BZ"", ""BJ"", ""BM"", ""BT"", ""BO"", ""BQ"", ""BA"", ""BW"", ""BV"", ""BR"", ""IO"", ""BN"", ""BG"", ""BF"", ""BI"", ""KH"", ""CM"", ""CA"", ""CV"", ""KY"", ""CF"", ""TD"", ""CL"", ""CN"", ""CX"", ""CC"", ""CO"", ""KM"", ""CG"", ""CD"", ""CK"", ""CR"", ""CI"", ""HR"", ""CU"", ""CW"", ""CY"", ""CZ"", ""DK"", ""DJ"", ""DM"", ""DO"", ""EC"", ""EG"", ""SV"", ""GQ"", ""ER"", ""EE"", ""ET"", ""FK"", ""FO"", ""FJ"", ""FI"", ""FR"", ""GF"", ""PF"", ""TF"", ""GA"", ""GM"", ""GE"", ""DE"", ""GH"", ""GI"", ""GR"", ""GL"", ""GD"", ""GP"", ""GU"", ""GT"", ""GG"", ""GN"", ""GW"", ""GY"", ""HT"", ""HM"", ""VA"", ""HN"", ""HK"", ""HU"", ""IS"", ""IN"", ""ID"", ""IR"", ""IQ"", ""IE"", ""IM"", ""IL"", ""IT"", ""JM"", ""JP"", ""JE"", ""JO"", ""KZ"", ""KE"", ""KI"", ""KP"", ""KR"", ""KW"", ""KG"", ""LA"", ""LV"", ""LB"", ""LS"", ""LR"", ""LY"", ""LI"", ""LT"", ""LU"", ""MO"", ""MK"", ""MG"", ""MW"", ""MY"", ""MV"", ""ML"", ""MT"", ""MH"", ""MQ"", ""MR"", ""MU"", ""YT"", ""MX"", ""FM"", ""MD"", ""MC"", ""MN"", ""ME"", ""MS"", ""MA"", ""MZ"", ""MM"", ""NA"", ""NR"", ""NP"", ""NL"", ""NC"", ""NZ"", ""NI"", ""NE"", ""NG"", ""NU"", ""NF"", ""MP"", ""NO"", ""OM"", ""PK"", ""PW"", ""PS"", ""PA"", ""PG"", ""PY"", ""PE"", ""PH"", ""PN"", ""PL"", ""PT"", ""PR"", ""QA"", ""RE"", ""RO"", ""RU"", ""RW"", ""BL"", ""SH"", ""KN"", ""LC"", ""MF"", ""PM"", ""VC"", ""WS"", ""SM"", ""ST"", ""SA"", ""SN"", ""RS"", ""SC"", ""SL"", ""SG"", ""SX"", ""SK"", ""SI"", ""SB"", ""SO"", ""ZA"", ""GS"", ""SS"", ""ES"", ""LK"", ""SD"", ""SR"", ""SJ"", ""SZ"", ""SE"", ""CH"", ""SY"", ""TW"", ""TJ"", ""TZ"", ""TH"", ""TL"", ""TG"", ""TK"", ""TO"", ""TT"", ""TN"", ""TR"", ""TM"", ""TC"", ""TV"", ""UG"", ""UA"", ""AE"", ""GB"", ""US"", ""UM"", ""UY"", ""UZ"", ""VU"", ""VE"", ""VN"", ""VG"", ""VI"", ""WF"", ""EH"", ""YE"", ""ZM"", ""ZW""]",[]
Estenda Solutions,https://estenda.com,"[""SQL""]",[],[],true,https://weworkremotely.com,"[""US""]",[]
NewtonX,https://www.newtonx.com,[],[],[],true,https://weworkremotely.com,"[""AF"", ""AX"", ""AL"", ""DZ"", ""AS"", ""AD"", ""AO"", ""AI"", ""AQ"", ""AG"", ""AR"", ""AM"", ""AW"", ""AU"", ""AT"", ""AZ"", ""BS"", ""BH"", ""BD"", ""BB"", ""BY"", ""BE"", ""BZ"", ""BJ"", ""BM"", ""BT"", ""BO"", ""BQ"", ""BA"", ""BW"", ""BV"", ""BR"", ""IO"", ""BN"", ""BG"", ""BF"", ""BI"", ""KH"", ""CM"", ""CA"", ""CV"", ""KY"", ""CF"", ""TD"", ""CL"", ""CN"", ""CX"", ""CC"", ""CO"", ""KM"", ""CG"", ""CD"", ""CK"", ""CR"", ""CI"", ""HR"", ""CU"", ""CW"", ""CY"", ""CZ"", ""DK"", ""DJ"", ""DM"", ""DO"", ""EC"", ""EG"", ""SV"", ""GQ"", ""ER"", ""EE"", ""ET"", ""FK"", ""FO"", ""FJ"", ""FI"", ""FR"", ""GF"", ""PF"", ""TF"", ""GA"", ""GM"", ""GE"", ""DE"", ""GH"", ""GI"", ""GR"", ""GL"", ""GD"", ""GP"", ""GU"", ""GT"", ""GG"", ""GN"", ""GW"", ""GY"", ""HT"", ""HM"", ""VA"", ""HN"", ""HK"", ""HU"", ""IS"", ""IN"", ""ID"", ""IR"", ""IQ"", ""IE"", ""IM"", ""IL"", ""IT"", ""JM"", ""JP"", ""JE"", ""JO"", ""KZ"", ""KE"", ""KI"", ""KP"", ""KR"", ""KW"", ""KG"", ""LA"", ""LV"", ""LB"", ""LS"", ""LR"", ""LY"", ""LI"", ""LT"", ""LU"", ""MO"", ""MK"", ""MG"", ""MW"", ""MY"", ""MV"", ""ML"", ""MT"", ""MH"", ""MQ"", ""MR"", ""MU"", ""YT"", ""MX"", ""FM"", ""MD"", ""MC"", ""MN"", ""ME"", ""MS"", ""MA"", ""MZ"", ""MM"", ""NA"", ""NR"", ""NP"", ""NL"", ""NC"", ""NZ"", ""NI"", ""NE"", ""NG"", ""NU"", ""NF"", ""MP"", ""NO"", ""OM"", ""PK"", ""PW"", ""PS"", ""PA"", ""PG"", ""PY"", ""PE"", ""PH"", ""PN"", ""PL"", ""PT"", ""PR"", ""QA"", ""RE"", ""RO"", ""RU"", ""RW"", ""BL"", ""SH"", ""KN"", ""LC"", ""MF"", ""PM"", ""VC"", ""WS"", ""SM"", ""ST"", ""SA"", ""SN"", ""RS"", ""SC"", ""SL"", ""SG"", ""SX"", ""SK"", ""SI"", ""SB"", ""SO"", ""ZA"", ""GS"", ""SS"", ""ES"", ""LK"", ""SD"", ""SR"", ""SJ"", ""SZ"", ""SE"", ""CH"", ""SY"", ""TW"", ""TJ"", ""TZ"", ""TH"", ""TL"", ""TG"", ""TK"", ""TO"", ""TT"", ""TN"", ""TR"", ""TM"", ""TC"", ""TV"", ""UG"", ""UA"", ""AE"", ""GB"", ""US"", ""UM"", ""UY"", ""UZ"", ""VU"", ""VE"", ""VN"", ""VG"", ""VI"", ""WF"", ""EH"", ""YE"", ""ZM"", ""ZW""]",[]
ILSL Workforce,https://ilslworkforce.com/#home,[],[],[],true,https://weworkremotely.com,"[""US""]",[]
White Bridge LTD,https://whitebridge-ltd.com,"[""HTML""]",[],[],true,https://weworkremotely.com,"[""AF"", ""AX"", ""AL"", ""DZ"", ""AS"", ""AD"", ""AO"", ""AI"", ""AQ"", ""AG"", ""AR"", ""AM"", ""AW"", ""AU"", ""AT"", ""AZ"", ""BS"", ""BH"", ""BD"", ""BB"", ""BY"", ""BE"", ""BZ"", ""BJ"", ""BM"", ""BT"", ""BO"", ""BQ"", ""BA"", ""BW"", ""BV"", ""BR"", ""IO"", ""BN"", ""BG"", ""BF"", ""BI"", ""KH"", ""CM"", ""CA"", ""CV"", ""KY"", ""CF"", ""TD"", ""CL"", ""CN"", ""CX"", ""CC"", ""CO"", ""KM"", ""CG"", ""CD"", ""CK"", ""CR"", ""CI"", ""HR"", ""CU"", ""CW"", ""CY"", ""CZ"", ""DK"", ""DJ"", ""DM"", ""DO"", ""EC"", ""EG"", ""SV"", ""GQ"", ""ER"", ""EE"", ""ET"", ""FK"", ""FO"", ""FJ"", ""FI"", ""FR"", ""GF"", ""PF"", ""TF"", ""GA"", ""GM"", ""GE"", ""DE"", ""GH"", ""GI"", ""GR"", ""GL"", ""GD"", ""GP"", ""GU"", ""GT"", ""GG"", ""GN"", ""GW"", ""GY"", ""HT"", ""HM"", ""VA"", ""HN"", ""HK"", ""HU"", ""IS"", ""IN"", ""ID"", ""IR"", ""IQ"", ""IE"", ""IM"", ""IL"", ""IT"", ""JM"", ""JP"", ""JE"", ""JO"", ""KZ"", ""KE"", ""KI"", ""KP"", ""KR"", ""KW"", ""KG"", ""LA"", ""LV"", ""LB"", ""LS"", ""LR"", ""LY"", ""LI"", ""LT"", ""LU"", ""MO"", ""MK"", ""MG"", ""MW"", ""MY"", ""MV"", ""ML"", ""MT"", ""MH"", ""MQ"", ""MR"", ""MU"", ""YT"", ""MX"", ""FM"", ""MD"", ""MC"", ""MN"", ""ME"", ""MS"", ""MA"", ""MZ"", ""MM"", ""NA"", ""NR"", ""NP"", ""NL"", ""NC"", ""NZ"", ""NI"", ""NE"", ""NG"", ""NU"", ""NF"", ""MP"", ""NO"", ""OM"", ""PK"", ""PW"", ""PS"", ""PA"", ""PG"", ""PY"", ""PE"", ""PH"", ""PN"", ""PL"", ""PT"", ""PR"", ""QA"", ""RE"", ""RO"", ""RU"", ""RW"", ""BL"", ""SH"", ""KN"", ""LC"", ""MF"", ""PM"", ""VC"", ""WS"", ""SM"", ""ST"", ""SA"", ""SN"", ""RS"", ""SC"", ""SL"", ""SG"", ""SX"", ""SK"", ""SI"", ""SB"", ""SO"", ""ZA"", ""GS"", ""SS"", ""ES"", ""LK"", ""SD"", ""SR"", ""SJ"", ""SZ"", ""SE"", ""CH"", ""SY"", ""TW"", ""TJ"", ""TZ"", ""TH"", ""TL"", ""TG"", ""TK"", ""TO"", ""TT"", ""TN"", ""TR"", ""TM"", ""TC"", ""TV"", ""UG"", ""UA"", ""AE"", ""GB"", ""US"", ""UM"", ""UY"", ""UZ"", ""VU"", ""VE"", ""VN"", ""VG"", ""VI"", ""WF"", ""EH"", ""YE"", ""ZM"", ""ZW""]",[]
Proxify AB,http://career.proxify.io,[],[],[],true,https://weworkremotely.com,"[""AF"", ""AX"", ""AL"", ""DZ"", ""AS"", ""AD"", ""AO"", ""AI"", ""AQ"", ""AG"", ""AR"", ""AM"", ""AW"", ""AU"", ""AT"", ""AZ"", ""BS"", ""BH"", ""BD"", ""BB"", ""BY"", ""BE"", ""BZ"", ""BJ"", ""BM"", ""BT"", ""BO"", ""BQ"", ""BA"", ""BW"", ""BV"", ""BR"", ""IO"", ""BN"", ""BG"", ""BF"", ""BI"", ""KH"", ""CM"", ""CA"", ""CV"", ""KY"", ""CF"", ""TD"", ""CL"", ""CN"", ""CX"", ""CC"", ""CO"", ""KM"", ""CG"", ""CD"", ""CK"", ""CR"", ""CI"", ""HR"", ""CU"", ""CW"", ""CY"", ""CZ"", ""DK"", ""DJ"", ""DM"", ""DO"", ""EC"", ""EG"", ""SV"", ""GQ"", ""ER"", ""EE"", ""ET"", ""FK"", ""FO"", ""FJ"", ""FI"", ""FR"", ""GF"", ""PF"", ""TF"", ""GA"", ""GM"", ""GE"", ""DE"", ""GH"", ""GI"", ""GR"", ""GL"", ""GD"", ""GP"", ""GU"", ""GT"", ""GG"", ""GN"", ""GW"", ""GY"", ""HT"", ""HM"", ""VA"", ""HN"", ""HK"", ""HU"", ""IS"", ""IN"", ""ID"", ""IR"", ""IQ"", ""IE"", ""IM"", ""IL"", ""IT"", ""JM"", ""JP"", ""JE"", ""JO"", ""KZ"", ""KE"", ""KI"", ""KP"", ""KR"", ""KW"", ""KG"", ""LA"", ""LV"", ""LB"", ""LS"", ""LR"", ""LY"", ""LI"", ""LT"", ""LU"", ""MO"", ""MK"", ""MG"", ""MW"", ""MY"", ""MV"", ""ML"", ""MT"", ""MH"", ""MQ"", ""MR"", ""MU"", ""YT"", ""MX"", ""FM"", ""MD"", ""MC"", ""MN"", ""ME"", ""MS"", ""MA"", ""MZ"", ""MM"", ""NA"", ""NR"", ""NP"", ""NL"", ""NC"", ""NZ"", ""NI"", ""NE"", ""NG"", ""NU"", ""NF"", ""MP"", ""NO"", ""OM"", ""PK"", ""PW"", ""PS"", ""PA"", ""PG"", ""PY"", ""PE"", ""PH"", ""PN"", ""PL"", ""PT"", ""PR"", ""QA"", ""RE"", ""RO"", ""RU"", ""RW"", ""BL"", ""SH"", ""KN"", ""LC"", ""MF"", ""PM"", ""VC"", ""WS"", ""SM"", ""ST"", ""SA"", ""SN"", ""RS"", ""SC"", ""SL"", ""SG"", ""SX"", ""SK"", ""SI"", ""SB"", ""SO"", ""ZA"", ""GS"", ""SS"", ""ES"", ""LK"", ""SD"", ""SR"", ""SJ"", ""SZ"", ""SE"", ""CH"", ""SY"", ""TW"", ""TJ"", ""TZ"", ""TH"", ""TL"", ""TG"", ""TK"", ""TO"", ""TT"", ""TN"", ""TR"", ""TM"", ""TC"", ""TV"", ""UG"", ""UA"", ""AE"", ""GB"", ""US"", ""UM"", ""UY"", ""UZ"", ""VU"", ""VE"", ""VN"", ""VG"", ""VI"", ""WF"", ""EH"", ""YE"", ""ZM"", ""ZW""]",[]
Proxify AB,http://career.proxify.io,"[""SQL"", ""PHP""]","[""Laravel""]",[],true,https://weworkremotely.com,"[""AF"", ""AX"", ""AL"", ""DZ"", ""AS"", ""AD"", ""AO"", ""AI"", ""AQ"", ""AG"", ""AR"", ""AM"", ""AW"", ""AU"", ""AT"", ""AZ"", ""BS"", ""BH"", ""BD"", ""BB"", ""BY"", ""BE"", ""BZ"", ""BJ"", ""BM"", ""BT"", ""BO"", ""BQ"", ""BA"", ""BW"", ""BV"", ""BR"", ""IO"", ""BN"", ""BG"", ""BF"", ""BI"", ""KH"", ""CM"", ""CA"", ""CV"", ""KY"", ""CF"", ""TD"", ""CL"", ""CN"", ""CX"", ""CC"", ""CO"", ""KM"", ""CG"", ""CD"", ""CK"", ""CR"", ""CI"", ""HR"", ""CU"", ""CW"", ""CY"", ""CZ"", ""DK"", ""DJ"", ""DM"", ""DO"", ""EC"", ""EG"", ""SV"", ""GQ"", ""ER"", ""EE"", ""ET"", ""FK"", ""FO"", ""FJ"", ""FI"", ""FR"", ""GF"", ""PF"", ""TF"", ""GA"", ""GM"", ""GE"", ""DE"", ""GH"", ""GI"", ""GR"", ""GL"", ""GD"", ""GP"", ""GU"", ""GT"", ""GG"", ""GN"", ""GW"", ""GY"", ""HT"", ""HM"", ""VA"", ""HN"", ""HK"", ""HU"", ""IS"", ""IN"", ""ID"", ""IR"", ""IQ"", ""IE"", ""IM"", ""IL"", ""IT"", ""JM"", ""JP"", ""JE"", ""JO"", ""KZ"", ""KE"", ""KI"", ""KP"", ""KR"", ""KW"", ""KG"", ""LA"", ""LV"", ""LB"", ""LS"", ""LR"", ""LY"", ""LI"", ""LT"", ""LU"", ""MO"", ""MK"", ""MG"", ""MW"", ""MY"", ""MV"", ""ML"", ""MT"", ""MH"", ""MQ"", ""MR"", ""MU"", ""YT"", ""MX"", ""FM"", ""MD"", ""MC"", ""MN"", ""ME"", ""MS"", ""MA"", ""MZ"", ""MM"", ""NA"", ""NR"", ""NP"", ""NL"", ""NC"", ""NZ"", ""NI"", ""NE"", ""NG"", ""NU"", ""NF"", ""MP"", ""NO"", ""OM"", ""PK"", ""PW"", ""PS"", ""PA"", ""PG"", ""PY"", ""PE"", ""PH"", ""PN"", ""PL"", ""PT"", ""PR"", ""QA"", ""RE"", ""RO"", ""RU"", ""RW"", ""BL"", ""SH"", ""KN"", ""LC"", ""MF"", ""PM"", ""VC"", ""WS"", ""SM"", ""ST"", ""SA"", ""SN"", ""RS"", ""SC"", ""SL"", ""SG"", ""SX"", ""SK"", ""SI"", ""SB"", ""SO"", ""ZA"", ""GS"", ""SS"", ""ES"", ""LK"", ""SD"", ""SR"", ""SJ"", ""SZ"", ""SE"", ""CH"", ""SY"", ""TW"", ""TJ"", ""TZ"", ""TH"", ""TL"", ""TG"", ""TK"", ""TO"", ""TT"", ""TN"", ""TR"", ""TM"", ""TC"", ""TV"", ""UG"", ""UA"", ""AE"", ""GB"", ""US"", ""UM"", ""UY"", ""UZ"", ""VU"", ""VE"", ""VN"", ""VG"", ""VI"", ""WF"", ""EH"", ""YE"", ""ZM"", ""ZW""]",[]
Proxify AB,http://career.proxify.io,"[""Java"", ""C"", ""Swift""]","[""React""]",[],true,https://weworkremotely.com,"[""AF"", ""AX"", ""AL"", ""DZ"", ""AS"", ""AD"", ""AO"", ""AI"", ""AQ"", ""AG"", ""AR"", ""AM"", ""AW"", ""AU"", ""AT"", ""AZ"", ""BS"", ""BH"", ""BD"", ""BB"", ""BY"", ""BE"", ""BZ"", ""BJ"", ""BM"", ""BT"", ""BO"", ""BQ"", ""BA"", ""BW"", ""BV"", ""BR"", ""IO"", ""BN"", ""BG"", ""BF"", ""BI"", ""KH"", ""CM"", ""CA"", ""CV"", ""KY"", ""CF"", ""TD"", ""CL"", ""CN"", ""CX"", ""CC"", ""CO"", ""KM"", ""CG"", ""CD"", ""CK"", ""CR"", ""CI"", ""HR"", ""CU"", ""CW"", ""CY"", ""CZ"", ""DK"", ""DJ"", ""DM"", ""DO"", ""EC"", ""EG"", ""SV"", ""GQ"", ""ER"", ""EE"", ""ET"", ""FK"", ""FO"", ""FJ"", ""FI"", ""FR"", ""GF"", ""PF"", ""TF"", ""GA"", ""GM"", ""GE"", ""DE"", ""GH"", ""GI"", ""GR"", ""GL"", ""GD"", ""GP"", ""GU"", ""GT"", ""GG"", ""GN"", ""GW"", ""GY"", ""HT"", ""HM"", ""VA"", ""HN"", ""HK"", ""HU"", ""IS"", ""IN"", ""ID"", ""IR"", ""IQ"", ""IE"", ""IM"", ""IL"", ""IT"", ""JM"", ""JP"", ""JE"", ""JO"", ""KZ"", ""KE"", ""KI"", ""KP"", ""KR"", ""KW"", ""KG"", ""LA"", ""LV"", ""LB"", ""LS"", ""LR"", ""LY"", ""LI"", ""LT"", ""LU"", ""MO"", ""MK"", ""MG"", ""MW"", ""MY"", ""MV"", ""ML"", ""MT"", ""MH"", ""MQ"", ""MR"", ""MU"", ""YT"", ""MX"", ""FM"", ""MD"", ""MC"", ""MN"", ""ME"", ""MS"", ""MA"", ""MZ"", ""MM"", ""NA"", ""NR"", ""NP"", ""NL"", ""NC"", ""NZ"", ""NI"", ""NE"", ""NG"", ""NU"", ""NF"", ""MP"", ""NO"", ""OM"", ""PK"", ""PW"", ""PS"", ""PA"", ""PG"", ""PY"", ""PE"", ""PH"", ""PN"", ""PL"", ""PT"", ""PR"", ""QA"", ""RE"", ""RO"", ""RU"", ""RW"", ""BL"", ""SH"", ""KN"", ""LC"", ""MF"", ""PM"", ""VC"", ""WS"", ""SM"", ""ST"", ""SA"", ""SN"", ""RS"", ""SC"", ""SL"", ""SG"", ""SX"", ""SK"", ""SI"", ""SB"", ""SO"", ""ZA"", ""GS"", ""SS"", ""ES"", ""LK"", ""SD"", ""SR"", ""SJ"", ""SZ"", ""SE"", ""CH"", ""SY"", ""TW"", ""TJ"", ""TZ"", ""TH"", ""TL"", ""TG"", ""TK"", ""TO"", ""TT"", ""TN"", ""TR"", ""TM"", ""TC"", ""TV"", ""UG"", ""UA"", ""AE"", ""GB"", ""US"", ""UM"", ""UY"", ""UZ"", ""VU"", ""VE"", ""VN"", ""VG"", ""VI"", ""WF"", ""EH"", ""YE"", ""ZM"", ""ZW""]",[]
